Movie_Name,Star_Distribution
微爱之渐入佳境,"[2.9, 6.8, 28.5, 34.9, 26.9]"
关云长,"[2.4, 8.2, 38.5, 35.2, 15.8]"
西游记女儿国,"[3.2, 6.6, 25.6, 35.7, 28.9]"
变形金刚5：最后的骑士 Transformers: The Last Knight,"[3.4, 8.6, 35.0, 34.8, 18.2]"
疯魔鲁智深,"[0.0, 0.0, 13.3, 51.7, 35.0]"
第一大总统,"[4.4, 7.5, 32.5, 32.5, 23.1]"
股神,"[6.9, 10.8, 23.8, 28.5, 30.0]"
郭明义,"[11.8, 14.7, 21.5, 10.4, 41.5]"
龙之诞生 Birth of the Dragon,"[6.9, 10.2, 33.7, 29.0, 20.2]"
史诗电影 Epic Movie,"[4.0, 9.4, 38.1, 30.1, 18.3]"
巴啦啦小魔仙之魔箭公主,"[14.3, 6.8, 18.7, 18.1, 42.0]"
盗墓笔记,"[6.0, 9.7, 26.6, 28.5, 29.2]"
破梦游戏,"[4.3, 6.0, 18.5, 29.3, 41.8]"
说走就走之不说再见,"[5.2, 9.7, 20.1, 26.9, 38.1]"
雇佣兵 Soldiers of Fortune,"[1.2, 3.8, 26.1, 41.2, 27.7]"
齐天大圣·万妖之城,"[4.5, 10.0, 35.3, 33.5, 16.8]"
三少爷的剑,"[2.8, 9.6, 33.5, 35.7, 18.4]"
不可思异,"[2.6, 3.8, 19.2, 32.3, 42.1]"
中国合伙人2,"[2.2, 4.7, 23.0, 38.6, 31.5]"
京城81号,"[2.6, 6.7, 35.5, 37.6, 17.7]"
京城81号2 京城81号Ⅱ,"[1.4, 2.7, 18.6, 38.5, 38.9]"
人间·小团圆 香港仔,"[7.0, 18.8, 34.9, 15.3, 24.0]"
倾城之泪,"[2.9, 9.1, 35.5, 34.6, 17.9]"
决战食神,"[2.0, 5.9, 32.6, 40.1, 19.4]"
"卧虎藏龙：青冥宝剑 Crouching Tiger, Hidden Dragon: Sword of Destiny","[2.8, 7.5, 34.5, 35.5, 19.7]"
外公芳龄38,"[1.3, 4.1, 26.1, 40.1, 28.4]"
夜孔雀,"[6.0, 10.0, 24.4, 33.7, 25.9]"
奔爱,"[2.6, 4.7, 19.4, 30.1, 43.3]"
宫锁沉香,"[4.6, 9.4, 35.8, 30.2, 19.9]"
密战,"[2.3, 5.0, 25.8, 39.5, 27.4]"
小时代,"[5.2, 9.2, 30.9, 26.4, 28.4]"
小时代2：青木时代,"[5.3, 9.7, 33.5, 26.5, 24.9]"
小时代3：刺金时代,"[5.0, 6.9, 26.7, 27.9, 33.5]"
悟空传,"[4.0, 10.9, 35.4, 33.5, 16.2]"
惊天破,"[1.0, 2.8, 22.1, 39.1, 35.1]"
我是女王,"[3.0, 5.7, 22.8, 32.5, 35.9]"
我的美女老板,"[2.1, 7.4, 37.0, 35.2, 18.3]"
战国,"[1.6, 4.7, 21.1, 30.0, 42.6]"
新乌龙院之笑闹江湖,"[1.1, 2.4, 15.6, 35.1, 45.7]"
无极,"[7.9, 13.5, 31.8, 28.1, 18.7]"
机器之血,"[2.1, 6.0, 34.5, 40.2, 17.1]"
梦想合伙人,"[2.8, 4.3, 20.4, 34.2, 38.2]"
毒。诫 毒。誡,"[2.9, 8.3, 36.8, 37.7, 14.3]"
