Movie_Name,Star_Distribution
横道世之介,"[51.6, 36.9, 10.3, 1.0, 0.3]"
三个臭皮匠 The Three Stooges,"[73.4, 20.3, 5.8, 0.4, 0.1]"
世上最快的印第安摩托 The World's Fastest Indian,"[53.8, 37.9, 7.8, 0.5, 0.1]"
世界滞在记：18岁的小栗旬在西伯利亚 世界ウルルン滞在記 小栗旬がシベリア,"[71.2, 23.0, 5.2, 0.2, 0.5]"
亨利五世 Henry V,"[51.0, 38.1, 9.8, 0.7, 0.3]"
他们在岛屿写作：读中文系的人 他們在島嶼寫作：讀中文系的人,"[48.7, 42.8, 7.7, 0.3, 0.5]"
佩拉斯卡 Perlasca: Un eroe italiano,"[52.5, 34.8, 12.4, 0.2, 0.0]"
先驱者 LEADERS リーダーズ,"[39.9, 39.5, 18.5, 1.8, 0.4]"
剃头匠,"[63.0, 30.6, 5.8, 0.3, 0.2]"
北回归线 Tropic Of Cancer,"[51.8, 41.0, 6.9, 0.2, 0.2]"
卓别林 Chaplin,"[40.7, 45.8, 12.6, 0.7, 0.2]"
南特的雅克·德米 Jacquôt de Nantes,"[58.7, 35.9, 4.7, 0.6, 0.1]"
卡斯帕尔·豪泽尔之谜 Kaspar Hauser - Jeder für sich und Gott gegen alle,"[47.7, 40.0, 11.3, 0.9, 0.2]"
古尔德的32个短片 Thirty Two Short Films About Glenn Gould,"[40.5, 41.5, 15.1, 1.8, 1.0]"
史崔特先生的故事 The Straight Story,"[43.5, 43.7, 11.7, 0.9, 0.2]"
周恩来,"[40.0, 39.9, 16.8, 1.8, 1.5]"
圣女贞德蒙难记 La passion de Jeanne d'Arc,"[51.2, 35.8, 11.4, 1.1, 0.5]"
坐在人生边上——杨绛,"[59.0, 32.8, 6.8, 0.3, 1.1]"
大宅门,"[71.1, 24.3, 4.2, 0.3, 0.2]"
守望者 Watchmen,"[44.4, 35.8, 16.1, 2.9, 0.8]"
安德烈·卢布廖夫 Андрей Рублёв,"[60.2, 29.7, 8.4, 1.1, 0.6]"
定军山,"[77.3, 14.1, 6.1, 1.9, 0.6]"
影子大地 Shadowlands,"[43.8, 42.3, 13.0, 0.6, 0.3]"
心灵点滴 Patch Adams,"[40.9, 43.1, 14.2, 1.4, 0.4]"
愚公移山 Comment Yukong déplaça les montagnes,"[47.8, 39.2, 11.4, 0.5, 1.0]"
成吉思汗,"[44.7, 41.5, 10.2, 1.5, 2.1]"
战地摄影师 War Photographer,"[57.8, 33.4, 7.9, 0.5, 0.4]"
拿破仑 Napoléon,"[43.8, 39.3, 15.4, 0.8, 0.6]"
改变美国的一夜：格莱美向披头士致敬演出 The Night That Changed America: A Grammy Salute to The Beatles,"[67.5, 24.6, 6.8, 0.6, 0.6]"
放浪记 放浪記,"[41.8, 43.7, 13.3, 0.7, 0.5]"
肖申克的救赎 The Shawshank Redemption,"[84.7, 13.7, 1.4, 0.1, 0.1]"
守望先锋：新生 Overwatch: Alive,"[57.2, 33.6, 8.6, 0.3, 0.2]"
最狂野的梦想：征服珠峰 The Wildest Dream,"[46.7, 41.3, 11.1, 0.6, 0.2]"
李尔王 National Theatre Live: King Lear,"[62.5, 32.2, 4.9, 0.3, 0.1]"
死的赞美 사의 찬미,"[46.7, 34.3, 15.2, 2.3, 1.4]"
母亲的城堡 Le château de ma mère,"[44.2, 44.1, 10.5, 0.9, 0.3]"
永恒记忆 Maria Larssons eviga ögonblick,"[41.0, 45.1, 12.8, 1.0, 0.2]"
没有无辜的旁观者 There Are No Innocent Bystanders,"[60.0, 27.3, 10.2, 1.9, 0.5]"
爱德华·蒙克 Edvard Munch,"[47.3, 38.6, 12.4, 1.4, 0.3]"
特蕾莎修女 Madre Teresa,"[46.9, 36.2, 13.8, 2.4, 0.7]"
现实之舞 La danza de la realidad,"[45.8, 38.8, 12.9, 1.9, 0.7]"
理查三世 Richard III,"[44.8, 41.6, 12.4, 0.8, 0.5]"
理查二世 Richard II,"[49.0, 38.9, 11.0, 0.9, 0.2]"
鸭子的生活 ぢべたぐらし あひるの生活,"[56.2, 33.0, 9.1, 1.4, 0.3]"
皮罗斯马尼 ფიროსმანი,"[57.4, 36.0, 5.9, 0.3, 0.3]"
相约星期二 Tuesdays with Morrie,"[52.4, 35.6, 11.0, 0.9, 0.1]"
石榴的颜色 Նռան գույնը,"[52.4, 34.1, 11.0, 1.5, 1.0]"
神奇的费曼先生 The Fantastic Mr Feynman,"[68.8, 25.4, 5.2, 0.1, 0.4]"
神迹 Something The Lord Made,"[45.5, 43.6, 10.3, 0.5, 0.1]"
米开朗基罗 The Divine Michelangelo,"[45.3, 42.5, 11.4, 0.9, 0.0]"
约翰福音 The Gospel of John,"[50.4, 30.2, 17.4, 1.2, 0.8]"
耶稣传 Jesus,"[52.4, 30.5, 14.6, 1.3, 1.3]"
耶稣基督万世巨星 Great Performances: Jesus Christ Superstar,"[48.7, 38.0, 11.5, 1.2, 0.6]"
艾弗森 Iverson The Movie,"[45.7, 37.9, 15.4, 0.7, 0.2]"
蓝 Blue,"[45.8, 37.1, 13.5, 2.0, 1.6]"
记忆 기억,"[50.6, 37.4, 10.3, 1.0, 0.7]"
贤治之春 イーハトーブ幻想〜KENjIの春,"[52.4, 37.5, 9.0, 0.8, 0.3]"
远山,"[44.2, 42.2, 12.2, 0.9, 0.4]"
历史转折中的邓小平,"[38.2, 40.4, 14.2, 3.1, 4.1]"
镜子 Зеркало,"[61.1, 29.1, 7.8, 1.3, 0.6]"
阿尔卡特兹的养鸟人 Birdman of Alcatraz,"[52.9, 38.6, 7.0, 0.8, 0.7]"
陆上行舟 Fitzcarraldo,"[53.3, 36.1, 9.6, 0.8, 0.3]"
霍金传 Hawking,"[44.6, 42.6, 12.0, 0.6, 0.1]"
革命往事 Giù la testa,"[62.9, 30.8, 5.7, 0.5, 0.1]"
马太福音 Il vangelo secondo Matteo,"[41.7, 42.6, 14.1, 1.1, 0.4]"
黎明之前,"[66.7, 26.9, 5.4, 0.6, 0.4]"
丛林赤子心 Benji the Hunted,"[65.6, 26.0, 7.5, 0.7, 0.2]"
伴你高飞 Fly Away Home,"[54.2, 37.5, 7.8, 0.4, 0.2]"
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,"[56.0, 35.0, 8.4, 0.4, 0.1]"
喜马拉雅 Himalaya - l'enfance d'un chef,"[43.6, 43.4, 12.1, 0.8, 0.1]"
圣山 La montaña sagrada,"[50.2, 33.2, 12.7, 2.7, 1.2]"
小猫的故事 子猫物語,"[46.8, 38.9, 12.4, 1.4, 0.5]"
德尔苏·乌扎拉 Дерсу Узала,"[44.4, 42.6, 11.7, 1.0, 0.3]"
意大利人在俄罗斯的奇遇 Невероятные приключения итальянцев в России,"[43.1, 41.5, 14.2, 1.0, 0.1]"
新灵犬莱西 Lassie,"[40.2, 44.0, 14.9, 0.7, 0.1]"
深夜小狗离奇事件 National Theatre Live: The Curious Incident of the Dog in the Night-Time,"[58.8, 32.2, 7.9, 0.9, 0.2]"
灵犬莱西 Lassie Come Home,"[47.5, 39.5, 12.2, 0.6, 0.1]"
禁忌 第一季 Taboo Season 1,"[40.2, 42.2, 15.2, 1.8, 0.6]"
老人与海 The Old Man and the Sea,"[56.4, 34.6, 8.3, 0.6, 0.1]"
雪地黄金犬 White Fang,"[41.0, 45.5, 12.8, 0.5, 0.2]"
"黄金三镖客 Il buono, il brutto, il cattivo.","[64.4, 28.8, 6.1, 0.5, 0.2]"
12怒汉：大审判 12,"[42.2, 41.7, 13.8, 1.8, 0.5]"
7号房的礼物 7번방의 선물,"[53.6, 35.8, 9.4, 0.9, 0.3]"
E.T. 外星人 E.T.: The Extra-Terrestrial,"[41.7, 45.1, 12.3, 0.7, 0.2]"
K星异客 K-PAX,"[42.1, 43.7, 12.7, 1.2, 0.3]"
SPEC：翔 SPEC〜翔〜,"[42.3, 42.1, 13.9, 1.4, 0.3]"
V字仇杀队 V for Vendetta,"[55.8, 33.5, 9.4, 1.0, 0.4]"
一一,"[61.3, 28.9, 8.5, 1.0, 0.4]"
一个叫欧维的男人决定去死 En man som heter Ove,"[50.3, 40.2, 8.8, 0.6, 0.1]"
一次别离 جدایی نادر از سیمین,"[48.3, 41.0, 9.7, 0.8, 0.2]"
七宗罪 Se7en,"[50.3, 39.6, 9.4, 0.6, 0.2]"
七武士 七人の侍,"[67.8, 26.1, 5.4, 0.5, 0.3]"
