Movie_Name,Star_Distribution
史前一亿年 100 Million BC,"[1.5, 2.0, 10.4, 20.5, 65.6]"
吴仁宝,"[6.7, 7.6, 19.5, 9.0, 57.1]"
戚继光英雄传,"[2.6, 0.3, 0.2, 0.8, 96.1]"
王朝的女人·杨贵妃,"[2.3, 3.5, 16.6, 30.1, 47.6]"
薛平贵与王宝钏,"[3.5, 5.9, 18.6, 25.4, 46.6]"
雷锋在1959,"[3.7, 2.7, 5.9, 6.7, 81.1]"
雷锋的微笑,"[3.9, 0.9, 4.2, 4.3, 86.7]"
青春雷锋,"[3.4, 1.4, 3.7, 3.1, 88.4]"
东海龙棺,"[1.4, 0.0, 3.4, 24.7, 70.5]"
勇士之门,"[1.9, 1.8, 14.0, 33.5, 48.8]"
大蛇,"[1.3, 3.0, 13.2, 27.2, 55.3]"
密道追踪之阴兵虎符,"[2.7, 3.1, 12.4, 24.3, 57.4]"
巴啦啦小魔仙,"[8.1, 3.8, 10.8, 13.7, 63.7]"
巴啦啦小魔仙之魔法的考验,"[9.7, 6.8, 8.7, 10.0, 64.7]"
战神纪,"[8.4, 3.7, 7.1, 18.0, 62.8]"
断片之险途夺宝,"[0.9, 1.0, 7.2, 20.0, 71.0]"
暴走吧，女人,"[7.4, 15.7, 15.2, 16.4, 45.3]"
毕业作品,"[0.5, 2.1, 13.4, 35.6, 48.3]"
泰坦尼克号2 Titanic II,"[1.2, 1.3, 8.0, 21.6, 67.8]"
终极硬汉,"[4.4, 1.5, 7.3, 18.6, 68.2]"
西游记归来 서유기 리턴즈,"[1.2, 0.1, 1.8, 6.5, 90.4]"
超萌英雄,"[2.7, 3.9, 19.4, 26.1, 47.9]"
封神传奇,"[1.8, 1.5, 7.2, 17.0, 72.5]"
李雷和韩梅梅,"[2.3, 4.1, 18.1, 24.7, 50.8]"
纯洁心灵·逐梦演艺圈,"[2.0, 0.1, 0.2, 1.2, 96.4]"
东北往事之破马张飞,"[1.1, 3.4, 15.0, 31.2, 49.3]"
中国蓝盔,"[2.7, 2.7, 16.3, 24.7, 53.7]"
九龙不败 九龍不敗,"[1.1, 1.3, 8.7, 26.5, 62.4]"
云南虫谷,"[1.1, 1.4, 11.4, 28.4, 57.8]"
冰封侠：时空行者,"[1.1, 0.5, 4.7, 15.9, 77.8]"
功夫联盟,"[1.7, 3.1, 11.0, 27.1, 57.2]"
史前怪兽 Legendary,"[1.8, 1.7, 8.0, 19.7, 68.7]"
咏春小龙,"[1.2, 2.5, 2.5, 4.9, 88.9]"
大轰炸,"[0.9, 1.0, 7.3, 18.6, 72.1]"
天机·富春山居图,"[2.1, 1.4, 7.5, 18.2, 70.7]"
帝国秘符,"[3.9, 1.3, 9.9, 18.2, 66.7]"
拳皇 The King of Fighters,"[1.3, 1.4, 10.0, 24.1, 63.2]"
杨门女将之军令如山,"[1.8, 2.6, 14.8, 30.0, 50.8]"
特工艾米拉,"[2.8, 1.5, 5.0, 17.0, 73.6]"
王牌逗王牌,"[1.1, 2.0, 12.6, 29.4, 55.0]"
素人特工,"[2.2, 2.8, 15.8, 31.9, 47.3]"
绝命航班 Last Flight,"[2.9, 2.7, 13.3, 26.2, 54.9]"
蔡李佛拳,"[1.7, 1.5, 13.0, 32.0, 51.8]"
金蝉脱壳2：冥府 Escape Plan 2: Hades,"[0.6, 1.3, 11.0, 31.1, 56.1]"
钢铁飞龙之再见奥特曼,"[3.0, 1.3, 3.0, 6.9, 85.7]"
铁血娇娃,"[1.8, 2.7, 14.2, 29.0, 52.4]"
世博总动员,"[2.2, 0.4, 0.6, 1.4, 95.4]"
喵星少年漂流记,"[22.5, 1.8, 9.9, 10.8, 55.0]"
小猪佩奇过大年,"[3.9, 6.8, 19.7, 22.4, 47.2]"
我爱灰太狼,"[5.4, 4.8, 11.4, 16.1, 62.3]"
我爱灰太狼2,"[4.0, 2.6, 6.2, 9.7, 77.5]"
汽车人总动员,"[2.4, 2.1, 3.0, 1.9, 90.6]"
泰迪熊之玩具大战,"[2.1, 0.8, 1.8, 3.4, 91.9]"
潜艇总动员：海底两万里,"[1.1, 6.5, 17.4, 25.0, 50.0]"
熊猫总动员,"[2.9, 2.6, 14.7, 23.0, 56.8]"
爵迹,"[3.8, 6.2, 18.9, 19.1, 52.0]"
白雪公主之矮人力量,"[10.6, 1.8, 4.1, 6.9, 76.7]"
赛尔号大电影5：雷神崛起,"[6.8, 8.8, 15.5, 19.7, 49.3]"
赛尔号大电影之寻找凤凰神兽,"[7.0, 2.8, 12.1, 16.0, 62.1]"
钢铁飞龙之奥特曼崛起,"[2.3, 3.0, 9.8, 15.0, 69.9]"
开罗宣言,"[6.3, 3.5, 9.4, 10.6, 70.2]"
敦刻尔克行动 Operation Dunkirk,"[1.9, 1.6, 6.6, 18.0, 71.9]"
湘江北去,"[6.6, 6.4, 16.6, 19.7, 50.7]"
麦香,"[1.7, 2.6, 13.8, 12.9, 69.0]"
人间·喜剧,"[0.5, 1.8, 13.8, 33.8, 50.1]"
从天“儿”降,"[4.6, 3.4, 13.8, 23.3, 54.9]"
嘻游记,"[1.3, 2.1, 13.4, 26.1, 57.1]"
奔跑吧！兄弟,"[2.8, 2.7, 12.5, 22.4, 59.6]"
女人公敌,"[2.2, 2.7, 15.4, 28.1, 51.6]"
快乐到家,"[2.6, 1.8, 12.3, 21.9, 61.3]"
欢乐喜剧人,"[0.8, 0.7, 4.0, 14.6, 79.9]"
为你写诗,"[3.4, 5.6, 14.6, 30.0, 46.5]"
唐伯虎点秋香2019,"[1.5, 1.3, 7.4, 15.1, 74.7]"
大话天仙,"[2.0, 1.8, 9.5, 24.8, 61.9]"
斗战胜佛,"[0.9, 0.9, 2.3, 14.5, 81.3]"
时光恋人,"[1.9, 2.8, 12.6, 28.3, 54.4]"
暮光·巴黎 Lumière Amoureuse,"[3.5, 7.1, 18.6, 23.9, 46.9]"
武林怪兽,"[1.4, 2.2, 15.4, 32.3, 48.7]"
