Movie_Name,Star_Distribution
白兰 파이란,"[15.3, 42.6, 36.7, 4.4, 0.9]"
"1988年的妮可 Nico, 1988","[15.2, 48.2, 32.3, 3.4, 0.8]"
一代巨星桑杰君 Sanju,"[19.8, 41.9, 31.9, 5.2, 1.2]"
七小福,"[17.0, 47.5, 32.8, 2.4, 0.4]"
万夫莫敌 Invincible,"[17.7, 51.2, 28.7, 2.3, 0.1]"
三岛由纪夫传 Mishima: A Life in Four Chapters,"[18.3, 42.5, 33.3, 4.6, 1.2]"
上帝的贝雷帽：手塚治虫的黑杰克创作秘话 神様のベレー帽～手塚治虫のブラック・ジャック創作秘話～,"[9.2, 43.2, 38.8, 6.3, 2.4]"
不可告人 Ne le dis à personne,"[10.0, 43.0, 40.6, 5.7, 0.7]"
不要忘记哥哥 にぃにのことを忘れないで,"[16.9, 38.5, 41.0, 3.3, 0.3]"
与我同行 Going My Way,"[17.4, 43.8, 34.6, 3.8, 0.5]"
丘吉尔的秘密 Churchill's Secret,"[12.6, 42.9, 40.6, 3.3, 0.6]"
丝克伍事件 Silkwood,"[13.1, 51.3, 31.5, 2.9, 1.2]"
中国最后一个太监,"[12.9, 39.3, 42.2, 4.9, 0.7]"
乔治亚·奥基弗 Georgia O'Keeffe,"[16.8, 49.2, 30.6, 2.9, 0.5]"
乱世情缘 Restoration,"[17.9, 41.1, 37.0, 3.9, 0.0]"
他们先杀了我父亲：一个柬埔寨女儿的回忆录 First They Killed My Father: A Daughter of Cambodia Remembers,"[19.5, 43.0, 31.5, 4.8, 1.2]"
任长霞,"[22.3, 40.1, 30.9, 4.3, 2.4]"
伯纳德与桃瑞丝 Bernard and Doris,"[12.8, 44.4, 39.6, 2.7, 0.5]"
住货车的女士 The Lady in the Van,"[17.9, 49.0, 30.1, 2.5, 0.6]"
你能原谅我吗？ Can You Ever Forgive Me?,"[10.1, 41.9, 43.1, 4.3, 0.7]"
佣兵传奇 Alatriste,"[21.2, 37.0, 34.3, 6.1, 1.3]"
"使徒保罗 Paul, Apostle of Christ","[26.4, 31.2, 30.9, 7.9, 3.5]"
信使 The Messenger,"[10.3, 51.0, 35.6, 2.8, 0.3]"
傲气盖天 Michael Collins,"[18.1, 49.4, 29.8, 2.1, 0.6]"
像男人一样死去 Morrer Como Um Homem,"[8.6, 41.8, 40.6, 7.4, 1.6]"
克罗克罗 Cloclo,"[13.7, 44.9, 38.9, 1.6, 1.0]"
克里斯托弗及同党 Christopher and His Kind,"[12.9, 41.3, 40.6, 4.6, 0.6]"
六福客栈 The Inn of the Sixth Happiness,"[23.6, 35.8, 31.6, 8.0, 1.1]"
写乐 写楽,"[17.1, 49.7, 30.0, 2.2, 1.0]"
冲出逆境 Antwone Fisher,"[14.8, 44.9, 36.4, 3.1, 0.8]"
切·格瓦拉传：游击队 Che: Part Two,"[19.0, 46.6, 31.3, 2.5, 0.6]"
切·格瓦拉传：阿根廷人 Che: Part One,"[15.7, 49.3, 31.2, 3.2, 0.5]"
列宁在一九一八 Ленин в 1918 году,"[18.3, 37.5, 35.8, 4.8, 3.7]"
刺杀尼克松 The Assassination of Richard Nixon,"[17.0, 47.2, 30.5, 4.8, 0.5]"
动物园长的夫人 The Zookeeper's Wife,"[13.1, 39.7, 42.3, 4.3, 0.5]"
劫机惊魂 Neerja,"[12.8, 35.7, 41.3, 7.9, 2.3]"
勃朗特姐妹 Les sœurs Brontë,"[13.7, 45.0, 36.2, 4.5, 0.6]"
医痴叶天士,"[16.0, 44.2, 33.1, 5.4, 1.2]"
午夜惊情 Sea of Love,"[16.0, 42.4, 38.1, 3.0, 0.4]"
博格对战麦肯罗 Borg/McEnroe,"[10.9, 38.2, 44.0, 6.3, 0.6]"
卡推女王 Queen of Katwe,"[17.7, 47.9, 31.6, 2.2, 0.5]"
印巴冤狱 Sarbjit,"[18.9, 43.2, 32.1, 3.4, 2.4]"
危险思想的自白 Confessions of a Dangerous Mind,"[13.0, 43.9, 36.7, 5.2, 1.2]"
叶问2：宗师传奇,"[12.1, 43.1, 39.7, 4.4, 0.7]"
否认 Denial,"[15.9, 45.4, 35.2, 2.9, 0.6]"
哥伦布传 1492: Christophe Colomb,"[14.8, 43.0, 37.9, 3.4, 0.8]"
圣之青春 聖の青春,"[15.7, 48.9, 30.9, 4.0, 0.6]"
圣徒秘录 There Be Dragons,"[15.1, 36.0, 37.6, 8.0, 3.2]"
圣罗兰传 Saint Laurent,"[12.9, 40.1, 39.4, 6.5, 1.2]"
坚强的心 A Mighty Heart,"[14.1, 46.4, 35.3, 3.7, 0.6]"
埃贡·席勒：死神和少女 Egon Schiele: Tod und Mädchen,"[18.5, 47.8, 30.9, 2.4, 0.3]"
堕落街 Christiane F. - Wir Kinder vom Bahnhof Zoo,"[21.0, 44.8, 30.2, 3.5, 0.5]"
塞尔日·甘斯布：英雄人生 Gainsbourg (Vie héroïque),"[20.8, 45.3, 28.9, 4.3, 0.7]"
塞尔玛 Selma,"[12.0, 43.2, 39.4, 4.4, 0.9]"
声名狼藉 Infamous,"[15.0, 47.6, 33.1, 3.5, 0.9]"
复制贝多芬 Copying Beethoven,"[15.1, 42.2, 37.4, 4.4, 1.0]"
夏加尔与马列维奇 Шагал-Малевич,"[19.9, 42.1, 30.6, 5.1, 2.3]"
多甫拉托夫 Довлатов,"[9.4, 49.8, 35.1, 4.8, 0.9]"
夜巡 Nightwatching,"[13.7, 42.0, 38.0, 5.7, 0.7]"
大创业家 The Founder,"[14.8, 47.4, 35.0, 2.4, 0.4]"
大太监李莲英,"[10.3, 41.4, 44.4, 3.5, 0.3]"
大梦想家 Saving Mr. Banks,"[19.5, 48.1, 29.6, 2.2, 0.5]"
天与地,"[14.8, 36.8, 42.8, 4.8, 0.7]"
天地明察,"[12.1, 42.4, 40.8, 3.8, 1.0]"
天才闪光 Flash of Genius,"[19.4, 47.7, 30.0, 2.5, 0.3]"
失控,"[15.1, 39.3, 35.5, 8.3, 1.8]"
头号公敌 L'instinct de mort,"[15.1, 49.4, 31.8, 3.2, 0.6]"
头号公敌续集 L'ennemi public n°1,"[15.8, 49.5, 31.9, 2.3, 0.5]"
奥利最开心的一天 Hymyilevä mies,"[10.8, 47.1, 39.2, 2.3, 0.6]"
好心先生 Mr. Nice,"[17.1, 42.4, 34.9, 4.6, 0.9]"
妮娜 Nina,"[12.7, 36.5, 44.0, 5.6, 1.2]"
姜戈 Django,"[18.9, 47.8, 30.1, 2.8, 0.3]"
孔夫子,"[18.3, 45.4, 30.2, 5.1, 0.9]"
宁静的热情 A Quiet Passion,"[15.2, 37.9, 39.3, 6.5, 1.1]"
宝拉 Paula,"[14.7, 36.1, 43.6, 5.0, 0.6]"
宫本武藏 宮本武蔵,"[15.2, 49.0, 33.1, 2.5, 0.3]"
宫本武藏 完结篇 决斗岩流岛 宮本武蔵 完結篇 決闘巌流島,"[17.1, 47.6, 31.2, 3.8, 0.3]"
