Movie_Name,Star_Distribution
反贪风暴2 S風暴,"[4.7, 14.2, 48.2, 26.1, 6.9]"
JT·莱罗伊 JT Leroy,"[6.3, 17.7, 55.3, 17.7, 3.0]"
复活 Risen,"[9.3, 16.2, 46.3, 21.3, 6.9]"
一生只为一事来,"[11.0, 22.0, 29.7, 20.9, 16.5]"
丽兹 Lizzie,"[4.8, 16.5, 56.5, 19.6, 2.6]"
丽兹与迪克 Liz & Dick,"[4.6, 12.9, 46.9, 28.1, 7.6]"
亿万少年俱乐部 Billionaire Boys Club,"[3.2, 8.7, 46.2, 35.2, 6.7]"
信仰者,"[14.8, 19.7, 36.1, 14.8, 14.8]"
"别担心，他不会走远的 Don't Worry, He Won't Get Far on Foot","[6.1, 18.2, 49.5, 20.8, 5.3]"
复仇行动 Acts Of Vengeance,"[3.6, 12.1, 55.5, 23.7, 5.1]"
韩赛尔与格蕾特：女巫猎人 Hansel and Gretel: Witch Hunters,"[4.5, 18.0, 56.6, 17.7, 3.1]"
威廉与凯特 William & Kate,"[5.0, 15.0, 56.9, 19.0, 4.2]"
我，迈克尔 I Am Michael,"[2.8, 8.9, 40.9, 36.4, 11.0]"
戴安娜 Diana,"[5.3, 18.2, 52.8, 19.8, 3.9]"
挖骨髓 Digging Up the Marrow,"[9.1, 20.5, 40.5, 22.7, 7.2]"
控制,"[4.3, 16.2, 49.9, 23.5, 6.2]"
朴烈 박열,"[7.1, 18.7, 51.2, 20.1, 3.0]"
比利小子 The Kid,"[5.4, 10.8, 58.6, 21.4, 3.8]"
沙漠女王 Queen of the Desert,"[5.9, 19.1, 49.5, 21.3, 4.1]"
碎塔 The Broken Tower,"[5.3, 14.3, 45.6, 28.3, 6.6]"
罗丹 Rodin,"[3.4, 8.0, 41.6, 37.0, 10.0]"
耐莉 Nelly,"[4.6, 16.9, 48.8, 25.2, 4.5]"
脑火 Brain on Fire,"[7.4, 19.8, 46.4, 21.2, 5.1]"
裸 nude,"[3.3, 13.5, 55.2, 23.7, 4.3]"
重生 RE:BORN,"[8.6, 19.4, 47.9, 19.9, 4.3]"
雪山奇迹 6 Below,"[4.5, 14.6, 53.6, 23.0, 4.4]"
顾城别恋 顧城別戀,"[4.2, 16.0, 39.7, 27.3, 12.8]"
领先者 The Front Runner,"[3.8, 14.0, 61.0, 19.3, 1.9]"
JOJO的奇妙冒险：不灭钻石 第一章 ジョジョの奇妙な冒険 ダイヤモンドは砕けない 第一章,"[4.7, 15.7, 47.8, 24.4, 7.4]"
万万没想到,"[6.1, 14.7, 41.8, 25.9, 11.5]"
伏地魔：传人的起源 Voldemort: Origins of the Heir,"[4.8, 13.3, 45.4, 27.3, 9.2]"
冰峰游戏 Big Game,"[2.7, 8.5, 40.7, 35.5, 12.6]"
决战刹马镇,"[5.9, 21.2, 47.6, 19.8, 5.5]"
发条城市,"[6.7, 18.0, 43.9, 22.9, 8.6]"
布希维克 Bushwick,"[7.3, 18.4, 39.5, 26.0, 8.8]"
戴夫造了个迷宫 Dave Made a Maze,"[6.3, 19.7, 46.0, 22.2, 5.7]"
戴帽子的猫 The Cat in the Hat,"[7.8, 16.8, 43.4, 23.9, 8.1]"
"明日，战争爆发时 Tomorrow, When the War Began","[3.0, 10.6, 40.0, 32.5, 14.0]"
星溪的三次奇遇,"[8.2, 16.4, 36.5, 33.3, 5.5]"
最萌警探 Напарник,"[2.0, 7.6, 43.5, 35.7, 11.2]"
朋克武士 パンク侍、斬られて候,"[6.0, 18.7, 39.6, 26.4, 9.3]"
