Movie_Name,Star_Distribution
"1988年的妮可 Nico, 1988",15.2%48.2%32.3%3.4%0.8%
24小时狂欢派对 24 Hour Party People,26.2%46.9%23.0%3.2%0.7%
42号传奇 42,22.5%52.0%23.8%1.4%0.3%
55步 55 Steps,23.2%51.5%24.3%0.8%0.3%
JT·莱罗伊 JT Leroy,6.3%17.7%55.3%17.7%3.0%
复活 Risen,9.3%16.2%46.3%21.3%6.9%
一个人的遭遇 Судьба человека,25.1%48.9%23.8%1.9%0.3%
一代巨星桑杰君 Sanju,19.8%41.9%31.9%5.2%1.2%
一年级生 The First Grader,28.9%47.6%22.5%0.9%0.2%
一曲难忘 A Song to Remember,24.1%47.6%24.6%3.0%0.6%
一生只为一事来,11.0%22.0%29.7%20.9%16.5%
一轮明月,28.0%44.8%23.4%3.1%0.8%
七小福,17.0%47.5%32.8%2.4%0.4%
万夫莫敌 Invincible,17.7%51.2%28.7%2.3%0.1%
万视瞩目 All Eyez on Me,15.9%26.1%41.7%13.3%3.0%
三个臭皮匠 The Three Stooges,73.4%20.3%5.8%0.4%0.1%
三岛由纪夫传 Mishima: A Life in Four Chapters,18.3%42.5%33.3%4.6%1.2%
上帝的使者 الرسالة,28.1%35.8%27.1%4.9%4.1%
上帝的贝雷帽：手塚治虫的黑杰克创作秘话 神様のベレー帽～手塚治虫のブラック・ジャック創作秘話～,9.2%43.2%38.8%6.3%2.4%
不可告人 Ne le dis à personne,10.0%43.0%40.6%5.7%0.7%
不可能的事 Breakthrough,15.5%18.3%45.7%14.6%5.9%
不惧风暴 Into the Storm,8.1%31.4%50.6%8.7%1.2%
不是冤家不聚头 不是冤家不聚頭,9.6%36.4%49.9%3.6%0.5%
不朽真情 Immortal Beloved,27.5%47.5%21.9%2.5%0.6%
不要忘记哥哥 にぃにのことを忘れないで,16.9%38.5%41.0%3.3%0.3%
与我同行 Going My Way,17.4%43.8%34.6%3.8%0.5%
与男孩同车 Riding in Cars with Boys,33.4%49.2%16.1%1.0%0.3%
世上最快的印第安摩托 The World's Fastest Indian,53.8%37.9%7.8%0.5%0.1%
世界滞在记：18岁的小栗旬在西伯利亚 世界ウルルン滞在記 小栗旬がシベリア,71.2%23.0%5.2%0.2%0.5%
丘吉尔 Churchill,12.5%30.2%45.0%10.2%2.2%
丘吉尔的秘密 Churchill's Secret,12.6%42.9%40.6%3.3%0.6%
丝克伍事件 Silkwood,13.1%51.3%31.5%2.9%1.2%
中国最后一个太监,12.9%39.3%42.2%4.9%0.7%
丹东 Danton,21.8%53.5%21.7%2.3%0.6%
为家而战 Fighting with My Family,4.3%24.2%58.6%11.2%1.7%
丽兹 Lizzie,4.8%16.5%56.5%19.6%2.6%
丽兹与迪克 Liz & Dick,4.6%12.9%46.9%28.1%7.6%
义海倾情 Wyatt Earp,13.2%33.0%46.2%6.3%1.4%
乔治亚·奥基弗 Georgia O'Keeffe,16.8%49.2%30.6%2.9%0.5%
九日女王 Lady Jane,21.5%49.1%27.1%2.3%0.1%
九条命 Nine Lives,10.9%33.3%47.1%7.9%0.9%
乱世情缘 Restoration,17.9%41.1%37.0%3.9%0.0%
亨利五世 Henry V,51.0%38.1%9.8%0.7%0.3%
亲人们 My Ain Folk,31.8%51.6%13.9%1.5%1.2%
亲爱的克拉拉 Geliebte Clara,7.3%24.0%49.9%15.0%3.8%
亲爱的日记 Caro diario,25.3%46.9%23.2%3.8%0.9%
人生的另一天 Un día más con vida,26.2%48.0%23.0%2.5%0.4%
亿万少年俱乐部 Billionaire Boys Club,3.2%8.7%46.2%35.2%6.7%
从足球流氓到黑帮崛起 Rise of the Footsoldier,8.2%23.4%46.4%17.5%4.5%
他们 Loro 1,10.4%30.5%45.2%12.4%1.5%
他们先杀了我父亲：一个柬埔寨女儿的回忆录 First They Killed My Father: A Daughter of Cambodia Remembers,19.5%43.0%31.5%4.8%1.2%
他们在岛屿写作：1918 他們在島嶼寫作：1918,23.3%49.4%23.0%3.7%0.6%
他们在岛屿写作：读中文系的人 他們在島嶼寫作：讀中文系的人,48.7%42.8%7.7%0.3%0.5%
以女儿之名 Au nom de ma fille,35.1%51.7%12.3%0.7%0.1%
